pid,responses,rt,time_elapsed
0,"{""Q0"":""Instead of clicking all the nodes to check, it seems there a pattern where the largest payout will be at the end of a branch so I just click the ends and if they are the same large amount, I click however many I would like to get the most payout""}",47023,284120
0,"{""Q0"":""22"",""Q1"":""Female""}",6105,518037
1,"{""Q0"":""Only clicking select nodes""}",11383,299595
1,"{""Q0"":""33"",""Q1"":""Female""}",8266,550075
2,"{""Q0"":""I am using more of the node inspectors to see chance of earning more. At the beginning, I didn't use any.""}",62556,412089
2,"{""Q0"":""51"",""Q1"":""female""}",20765,708148
3,"{""Q0"":""I'm confused why I got penalized for picking +2 when other routes were +2 as well. ""}",25831,308375
3,"{""Q0"":""29"",""Q1"":""Female""}",7282,549585
4,"{""Q0"":""I am not wasting as much money unnecessarily inspecting extra nodes. I now know that it is always a wise choice to go straight for an end node that pays 48 as soon as I locate it. The benefits will always outweigh the costs in such a situation.""}",105350,609521
4,"{""Q0"":""31"",""Q1"":""Male""}",29160,894289
5,"{""Q0"":""only use guesses on final nodes""}",11195,213060
5,"{""Q0"":""28"",""Q1"":""male""}",5280,444751
6,"{""Q0"":""In the initial rounds, I thought that I could only click on sequential nodes - not go directly to the end point.  Also in the first game, I hit the arrow key incorrectly as i have not used them in forever.  Also I learned that once I knew where the 48 was, I did not have to uncover all the nodes to move.""}",95667,694144
6,"{""Q0"":""54"",""Q1"":""Female""}",10575,1048170
8,"{""Q0"":""didn't learn anything""}",19010,624997
8,"{""Q0"":""29"",""Q1"":""Female""}",9998,1034735
9,"{""Q0"":""It is best to use the node inspector to find the value of every node before making a decision.""}",43383,460708
9,"{""Q0"":""32"",""Q1"":""female""}",9420,741787
10,"{""Q0"":""only the ending nodes were important""}",32842,474664
10,"{""Q0"":""30"",""Q1"":""Male""}",8595,791418
11,"{""Q0"":""What I learned is don't worry about the first value you step on. It is all about the last block you set on because it is the most expensive.""}",35498,223725
11,"{""Q0"":""29"",""Q1"":""Male""}",6974,475861
12,"{""Q0"":""At first, I clicked the nodes nearest to me to see what way I should go, but I realized the nodes closest to me at most subtract 8 from my score. The ones farthest away are between -48 and 48. I decided I'd use up to $5 to find a node that has 48 and go for it regardless of the nodes before it. ""}",71386,278511
12,"{""Q0"":""25"",""Q1"":""Male""}",5421,517992
13,"{""Q0"":""I should check the nodes before I move.""}",19126,303217
13,"{""Q0"":""24"",""Q1"":""male""}",7812,527669
14,"{""Q0"":""I just decided to begin hitting the last node instead of the ones starting near the spider.""}",66957,421426
14,"{""Q0"":""39"",""Q1"":""female""}",12768,688686
15,"{""Q0"":""To click the last spaces you will move  first""}",17703,260941
15,"{""Q0"":""32"",""Q1"":""Male""}",6468,488844
16,"{""Q0"":""I learned that using the inspector seems worth it as the amounts vary so much.""}",23103,248624
16,"{""Q0"":""29"",""Q1"":""female""}",6913,513906
17,"{""Q0"":""That I should go for the end node and not worry about the beginning ones. Only clicking on end nodes to see them.""}",27596,399512
17,"{""Q0"":""33"",""Q1"":""Male""}",13160,659092
18,"{""Q0"":""I check the ending values first then check the values leading up to the ending values. If one set of moves appears to be the greatest value I don't worry about revealing all of the values. ""}",86279,525537
18,"{""Q0"":""46"",""Q1"":""Female""}",9825,1013097
19,"{""Q0"":""Always go for the biggest reward at the end of the node, follow by the next node with the highest node reward.""}",222161,869651
